Stock,Weight,Target_Value,Price_Per_Share,Price_Per_Lot,Lots,Actual_Value,Actual_Weight
CSCO,0.1987105965583479,397.4211931166958,68.62000274658203,68.62000274658203,5,343.10001373291016,0.17155000686645508
HPE,0.021498886357316047,42.99777271463209,20.760000228881836,20.760000228881836,2,41.52000045776367,0.020760000228881834
TXN,0.0011271104067508498,2.2542208135016994,186.25,186.25,0,0.0,0.0
ABBV,0.0534936514098958,106.98730281979161,190.5500030517578,190.5500030517578,0,0.0,0.0
GILD,0.03504612447382468,70.09224894764935,113.55999755859375,113.55999755859375,0,0.0,0.0
AMGN,0.05437967857671404,108.75935715342807,309.2200012207031,309.2200012207031,0,0.0,0.0
WFC,0.0456575348253993,91.31506965079859,83.69999694824219,83.69999694824219,1,83.69999694824219,0.041849998474121096
AIG,0.14138636802550156,282.7727360510031,79.51000213623047,79.51000213623047,3,238.5300064086914,0.1192650032043457
SO,0.005044674871831013,10.089349743662025,95.12999725341797,95.12999725341797,0,0.0,0.0
XEL,0.004276470844657026,8.552941689314052,72.5,72.5,0,0.0,0.0
PG,0.006279569633576934,12.559139267153867,158.27999877929688,158.27999877929688,0,0.0,0.0
KO,0.05564817720592308,111.29635441184615,69.16000366210938,69.16000366210938,1,69.16000366210938,0.03458000183105469
MCD,0.05165472608277271,103.30945216554542,298.1199951171875,298.1199951171875,0,0.0,0.0
CL,0.037338299141264054,74.6765982825281,88.79000091552734,88.79000091552734,0,0.0,0.0
KMB,0.09293550043523874,185.87100087047747,127.7300033569336,127.7300033569336,1,127.7300033569336,0.0638650016784668
T,0.01195462371164184,23.90924742328368,27.75,27.75,0,0.0,0.0
CME,0.18356800743934443,367.13601487868885,276.4800109863281,276.4800109863281,1,276.4800109863281,0.13824000549316406
