Stock,Weight,Target_Value,Price_Per_Share,Price_Per_Lot,Lots,Actual_Value,Actual_Weight
TXN,0.011408205926457053,22.816411852914104,186.25,186.25,0,0.0,0.0
JNJ,0.011960731936228416,23.921463872456833,169.10000610351562,169.10000610351562,0,0.0,0.0
MDT,0.05619746696908105,112.39493393816211,92.01000213623047,92.01000213623047,1,92.01000213623047,0.04600500106811523
MS,0.005514109705202617,11.028219410405235,142.2100067138672,142.2100067138672,0,0.0,0.0
PNC,0.011392521760713238,22.785043521426477,197.75999450683594,197.75999450683594,0,0.0,0.0
TFC,0.00022717719488658922,0.45435438977317844,45.81999969482422,45.81999969482422,0,0.0,0.0
BK,0.025021219013876172,50.04243802775235,99.62999725341797,99.62999725341797,0,0.0,0.0
STT,0.004917773995826992,9.835547991653984,110.6500015258789,110.6500015258789,0,0.0,0.0
KEY,0.013398199865746991,26.79639973149398,18.799999237060547,18.799999237060547,1,18.799999237060547,0.009399999618530273
AIG,0.018531487156632245,37.06297431326449,79.51000213623047,79.51000213623047,0,0.0,0.0
MET,0.003707980217013967,7.415960434027935,78.44000244140625,78.44000244140625,0,0.0,0.0
HIG,0.033391456855938396,66.78291371187679,123.2300033569336,123.2300033569336,0,0.0,0.0
XOM,0.0017636162319007184,3.527232463801437,109.93000030517578,109.93000030517578,0,0.0,0.0
KMI,0.04987792436031966,99.75584872063932,26.809999465942383,26.809999465942383,3,80.42999839782715,0.040214999198913574
VLO,0.014887786309977887,29.775572619955774,147.5399932861328,147.5399932861328,0,0.0,0.0
PSX,0.03274431890702079,65.48863781404158,127.8499984741211,127.8499984741211,0,0.0,0.0
WMB,0.05272096954029348,105.44193908058696,57.709999084472656,57.709999084472656,1,57.709999084472656,0.028854999542236328
NEE,0.04470542105613797,89.41084211227594,72.81999969482422,72.81999969482422,1,72.81999969482422,0.03640999984741211
D,0.01144934013917579,22.89868027835158,58.290000915527344,58.290000915527344,0,0.0,0.0
SO,0.014446354708528217,28.892709417056434,95.12999725341797,95.12999725341797,0,0.0,0.0
DUK,0.0027226054400204492,5.445210880040898,119.51000213623047,119.51000213623047,0,0.0,0.0
AEP,0.014375383280189306,28.75076656037861,108.88999938964844,108.88999938964844,0,0.0,0.0
XEL,0.027314224739355096,54.628449478710195,72.5,72.5,0,0.0,0.0
SRE,0.024670796138017228,49.341592276034454,79.37999725341797,79.37999725341797,0,0.0,0.0
ED,0.0002995431940870947,0.5990863881741894,102.55000305175781,102.55000305175781,0,0.0,0.0
ES,0.010890148804540967,21.780297609081934,66.37000274658203,66.37000274658203,0,0.0,0.0
ATO,0.008662439307832212,17.324878615664424,157.08999633789062,157.08999633789062,0,0.0,0.0
PG,0.033280321796929205,66.56064359385842,158.27999877929688,158.27999877929688,0,0.0,0.0
KO,0.024098261692645676,48.19652338529135,69.16000366210938,69.16000366210938,0,0.0,0.0
PEP,0.013196416827975496,26.39283365595099,145.66000366210938,145.66000366210938,0,0.0,0.0
MCD,0.0020720092111707103,4.1440184223414205,298.1199951171875,298.1199951171875,0,0.0,0.0
CLX,0.0053097614181687024,10.619522836337405,131.42999267578125,131.42999267578125,0,0.0,0.0
HSY,0.019442948503312768,38.885897006625534,183.22999572753906,183.22999572753906,0,0.0,0.0
MO,0.019808623187147135,39.61724637429427,59.77000045776367,59.77000045776367,0,0.0,0.0
PM,0.004726378681459176,9.452757362918353,164.6699981689453,164.6699981689453,0,0.0,0.0
LMT,0.025882319671981478,51.764639343962955,419.3900146484375,419.3900146484375,0,0.0,0.0
RTX,0.01295931976693662,25.91863953387324,156.49000549316406,156.49000549316406,0,0.0,0.0
UPS,0.014759173123906741,29.518346247813483,103.52999877929688,103.52999877929688,0,0.0,0.0
CHRW,0.010858412856650084,21.716825713300167,100.58999633789062,100.58999633789062,0,0.0,0.0
AMT,0.03807700862500788,76.15401725001577,230.17999267578125,230.17999267578125,0,0.0,0.0
CCI,0.04954287575949525,99.0857515189905,109.7300033569336,109.7300033569336,0,0.0,0.0
EQR,0.03730779518217301,74.61559036434602,68.33999633789062,68.33999633789062,1,68.33999633789062,0.03416999816894531
EMN,0.017201462175646744,34.402924351293485,79.7300033569336,79.7300033569336,0,0.0,0.0
CF,0.054754851496010844,109.50970299202169,93.70999908447266,93.70999908447266,1,93.70999908447266,0.04685499954223633
FMC,0.05279827527972992,105.59655055945984,43.900001525878906,43.900001525878906,2,87.80000305175781,0.043900001525878904
BBY,0.05672458198865211,113.44916397730421,68.45999908447266,68.45999908447266,1,68.45999908447266,0.03422999954223633
