Stock,Weight,Target_Value,Price_Per_Share,Price_Per_Lot,Lots,Actual_Value,Actual_Weight
BMRI.JK,0.135351298310688,2707025.9662137604,4780.0,478000.0,5,2390000.0,0.1195
ASII.JK,0.11799764859774962,2359952.9719549925,5025.0,502500.0,4,2010000.0,0.1005
UNTR.JK,0.07182493690784239,1436498.738156848,24075.0,2407500.0,0,0.0,0.0
DLTA.JK,0.11591084716143346,2318216.943228669,2040.0,204000.0,11,2244000.0,0.1122
MLBI.JK,0.16340959216397816,3268191.8432795634,6300.0,630000.0,5,3150000.0,0.1575
GGRM.JK,0.13209461327523392,2641892.2655046782,9400.0,940000.0,2,1880000.0,0.094
PTBA.JK,0.007767770578406389,155355.41156812778,2460.0,246000.0,0,0.0,0.0
GEMS.JK,0.1445722652283298,2891445.304566596,9400.0,940000.0,3,2820000.0,0.141
KKGI.JK,0.0019103852547339567,38207.705094679135,376.0,37600.0,1,37600.0,0.00188
PUDP.JK,0.10916064252160437,2183212.8504320877,214.0,21400.0,102,2182800.0,0.10914
