Stock,Weight,Target_Value,Price_Per_Share,Price_Per_Lot,Lots,Actual_Value,Actual_Weight
BBCA.JK,0.09475543882908183,2842663.164872455,8425.0,842500.0,3,2527500.0,0.08425
BMRI.JK,0.18658134913532587,5597440.474059776,4680.0,468000.0,11,5148000.0,0.1716
ASII.JK,0.0862734227794691,2588202.683384073,4950.0,495000.0,5,2475000.0,0.0825
UNVR.JK,0.23079809490675443,6923942.847202633,1570.0,157000.0,44,6908000.0,0.23026666666666668
ICBP.JK,0.18746906361795784,5624071.9085387355,10450.0,1045000.0,5,5225000.0,0.17416666666666666
KLBF.JK,0.03769253106068441,1130775.9318205323,1495.0,149500.0,7,1046500.0,0.034883333333333336
CPIN.JK,0.055129982043908926,1653899.4613172677,5025.0,502500.0,3,1507500.0,0.05025
PTBA.JK,0.0016677634143536751,50032.90243061025,2440.0,244000.0,0,0.0,0.0
ERAA.JK,0.03170605192783282,951181.5578349847,515.0,51500.0,18,927000.0,0.0309
SIDO.JK,0.08792630228463094,2637789.0685389284,520.0,52000.0,50,2600000.0,0.08666666666666667
